Sound Spotting and Creation,,,,,,,,,,,,FMOD Implementation,,,Unity Integration,
Item Category and Name,Item Area Location,Sound Movement/Action,Sound Description,Sound Length (if one shot sound),Sound Source,If Foley: What Materials?,If Foley: Made by,If Foley: Recorded by,Created/Mixed by,Notes,,Implemented by,Notes,,Integrated by,Notes
Sound Effects,The Jungle,Opening Door,"Heavy Metal Door, sliding. ",5 sec,Foley & Freesound,"Metal Sheet, Hammer",Steve,Sarah,Steve ,, ,Sarah,Spatialization needs to be tweaked when implementing, ,Steve,Event needs to be tweaked to match door animation
Gear,,,,,,,,,,,,,,,,
Pistol,Player,Equipping Pistol,,,Foley,Glass Jar & Lid,Bryce & Aidan,Dom,Evan,, ,,, ,,
,Player,Firing Pistol,,,,,,,,, ,,, ,,
,Player,Reloading Pistol,,,Foley,Glass Jar & Lid,Bryce & Aidan,Dom,Evan,, ,Evan,, ,Evan,
Rifle,Player,Equipping Rifle,,,Foley,Door latching,Dom,Bryce,,, ,,, ,,
,Player,Firing Rifle,,,,,,,,, ,,, ,,
,Player,Reloading Rifle,,,Foley,Walking Stick,Aidan,Dom,,, ,,, ,,
Pill Grenade,Player,Equipping Pill Grenade,,,Foley,Poprocks in bag,Bryce,Evan,Dom,, ,,, ,,
,Player,Tossing Pill Grenade in Hand,,,Foley,Poprocks in bag,Bryce,Dom,Dom,,,,,,,
,Player,Pill Grenade Timer,,,,,,,,, ,,, ,,
,Player Surroundings,Pill Grenade Exploding,,,,,,,,,,,,,,
Footsteps,,,,,,,,,,,,,,,,
Floor,Head Room,Individual Steps,,,Foley,Slime on metal sheet,Abdul,Bryce,,,,,,,,
Floor,Head Room,Jumping,,,Foley,,,,,,,,,,,
Floor,Heart Room,Individual Steps,,,Foley,,,,,,,,,,,
Floor,Heart Room,Jumping,,,Foley,,,,,,,,,,,
Floor,Stomach Room,Individual Steps,,,Foley,,,,,,,,,,,
Floor,Stomach Room,Jumping,,,Foley,,,,,,,,,,,
Floor,Corridors,Individual Steps,,,Foley,Melon Guts,Aidan,Dom,Dom,,,Bryce,,,Bryce,Added spatial instances and parameterised pitch shifting
Floor,Corridors,Jumping,,,Foley,,,,,,,,,,,
Stomach Acid,Stomach Room,Individual Steps,,,Foley,Pasta,Dom,Sufyan,,,,,,,,
Stomach Acid,Stomach Room,Jumping,,,Foley,,,,,,,,,,,
Impact,,,,,,,,,,, ,,, ,,
Floor,Throughout Map,Ray Hitting Floor,,,,,,,,, ,,, ,,
Walls,Throughout Map,Ray Hitting Wall,,,,,,,,, ,,, ,,
Bacteria,Throughout Map,Pistol Hitting Bacteria,,,,,,,,,,,,,,
Bacteria,Throughout Map,Rifle Hitting Bacteria,,,,,,,,,,,,,,
Bacteria,Throughout Map,Grenade Hitting Bacteria,,,,,,,,,,,,,,
Red Blood Cells,Throughout Map,Ray Hitting Red Blood Cell,,,,,,,,,,,,,,
UI,,,,,,,,,,,,,,,,
Menu - Hover,Menu,Hovering over an option,Small and smooth,0.1 secs,Foley,Melon,Dom,Aidan,Aidan,,,,,,,
Menu - Return,Menu,Exiting/Returning to prev screen,Short snap,0.1 secs,Foley,Melon,Aidan,Dom,Aidan,,,,,,,
Menu - Select,Menu,Selecting option in menu/Starting,Slight wetness/goop,0.3 secs,Foley,Melon,Bryce,Dom,Aidan,,,,,,,
Map Objects,,,,,,,,,,, ,,, ,,
Doors,Throughout Map,"Unlocking Door, Burns Away",,,,,,,,, ,,, ,,
"""Keys""",Throughout Map,"Collect ""Key""",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ambiences,,,,,,,,,,, ,,, ,,
Brain,Head Room,Electrical Signals,,,,,,,,,,,,,,
Heart,Player (From Heart Room),Heartbeat (variable),,,Synthesizer,,,,Dom,, ,,, ,,
Stomach,Stomach Room,Stomach Grumbling,,,,,,,,,,,,,,
Stomach Acid,Stomach Room,Bubbling and Fizzing,,,Foley,Popping Candy,Evan,Bryce,,, ,,, ,,
,Stomach Room,Lapping Against Side,,,,,,,,, ,,, ,,
Body,Throughout Map,Small Rumbles,,,Foley,Slime,Aidan,Dom,,,,,,,,
Body,Throughout Map,Bones creaking/cracking,,,Foley,Melon,Dom,Aidan,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dialogue,,,,,,,,,,, ,,, ,,
Offscreen Character Voice-over,,,,,,,,,,, ,,, ,,
Doctor,Player (Radio),Exposition (cutscene),Crackly and Tinny,,,,,,,Lines in Script : Cutscene Section, ,,, ,,
,Player (Radio),Mechanics,Crackly and Tinny,,,,,,,Lines in Script : Gameplay Section,,,,,,
,Player (Radio),Reach Checkpoints,Crackly and Tinny,,,,,,,Lines in Script : Gameplay Section,,,,,,
,Player (Radio),Touch Stomach Acid,Crackly and Tinny,,,,,,,Lines in Script : Gameplay Section,,,,,,
,Player (From Patient's Room),Enter Stomach,"Muffled, Slight Echo",,,,,,,Lines in Script : Gameplay Section,,,,,,
